Time,Position,Velocity
1705983193.856147,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983193.9681144,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983194.0640342,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983194.1598668,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983194.255814,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983194.3676107,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983194.463531,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983194.5594237,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983194.6554377,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983194.7671018,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983194.8631537,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983194.9591293,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983195.0548887,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983195.1666808,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983195.2627974,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983195.3583832,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983195.4702773,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983195.566561,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983195.6622958,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983195.7580113,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983195.870055,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983195.96582,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
1705983196.0617373,"x: 0.0
y: 0.0
z: 0.0","x: 0.0
y: 0.0
z: 0.0"
